"host","source_url","type","id","slug","title","price","sku","link","image","vendor","updated","price_norm","title_clean","title_norm","price_num"
"aceseeds.org","https://aceseeds.org/wp-json/wc/store/products","wc_store_product","247","erdpurt-semillas-feminizadas","ErdPurt Feminizada","750","ErdPurt_feminized_seeds","https://www.aceseeds.org/semillas/erdpurt-semillas-feminizadas/","","","","7,5","ErdPurt Feminizada","","7,5"
"blimburnseeds.com","https://blimburnseeds.com/wp-json/wc/store/products","wc_store_product","365652","super-boof-auto","Super Boof Auto","1750","BA1206","https://blimburnseeds.com/super-boof-auto/","","","","17,5","Super Boof Auto","","17,5"
"bulkseedbank.org","https://bulkseedbank.org/wp-json/wc/store/products","wc_store_product","3019","auto-psychedelic-2","AUTO PSYCHEDELIC","1750","","https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-psychedelic-2/","","","","17,5","AUTO PSYCHEDELIC","","17,5"
"dnagenetics.com","https://dnagenetics.com/wp-json/wc/store/products","wc_store_product","1320107","dna-auto-mix-pack-cannabis-seeds-sample","DNA Auto Mix Pack Cannabis Seeds (Sample)","100","DNA-DMP-FAUTP1-1","https://dnagenetics.com/product/dna-auto-mix-pack-cannabis-seeds-sample/","","","","1","DNA Auto Mix Pack Cannabis Seeds (Sample)","","1"
"drunderground.com","https://drunderground.com/wp-json/wc/store/products","wc_store_product","224","","Auto King Kong","15","","https://drunderground.com/producto/auto-king-kong/","","","","0,15","Auto King Kong","","0,15"
"genehtik.com","https://genehtik.com/wp-json/wc/store/products","wc_store_product","26453","semillas-de-cannabis-feminizadas","semillas de cannabis feminizadas","900","semilas de cannabis-2","https://www.genehtik.com/producto/semillas-de-cannabis-feminizadas/","","","","9","semillas de cannabis feminizadas","","9"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","14964","purple-zacatecas-mexico","PURPLE ZACATECAS IBL MEXICO DOUBLE PHENO PACK","9000","","https://hyp3rids.com/product/purple-zacatecas-mexico","","","","90","PURPLE ZACATECAS IBL MEXICO DOUBLE PHENO PACK","","90"
"kcbrains.com","https://kcbrains.com/wp-json/wc/store/products","wc_store_product","142","kc-36-regular","KC 36® Regular","950","kc10003","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/kc-36-regular/","","","","9,5","KC 36® Regular","","9,5"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","3303","zamberryks","Zamberry &#8211; Kaya Seed Company","5000","DESR","https://northcoastgenetics.com/product/zamberryks","","","","50","Zamberry – Kaya Seed Company","","50"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111269","haze-regular-cannabis-seeds","Haze #1 Regular Cannabis Seeds","990","8902201","https://www.spliffseeds.nl/product/haze-regular-cannabis-seeds/","","","","9,9","Haze #1 Regular Cannabis Seeds","","9,9"
"thebulldogseeds.com","https://thebulldogseeds.com/wp-json/wc/store/products","wc_store_product","1415","tb-skittlez-auto","TB Skittlez Auto","2700","TB Skittlez Auto","https://thebulldogseeds.com/product/tb-skittlez-auto/","","","","27","TB Skittlez Auto","","27"
"visionseeds.nl","https://visionseeds.nl/wp-json/wc/store/products","wc_store_product","2039","delhi-cheese-autofem","Delhi Cheese – AutoFem","1500","VS-420-1626-XX","https://www.visionseeds.nl/product/delhi-cheese-autofem/","","","","15","Delhi Cheese – AutoFem","","15"
